product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
2138,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,набор ручка+коробка 1,11,1,2,KEEP
2146,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,набор ручка+коробка 1,25,2,2,DELETE
2139,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,набор ручка+коробка 2,12,1,2,KEEP
2147,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,набор ручка+коробка 2,26,2,2,DELETE
2135,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,ручка MUJI,8,1,2,KEEP
2136,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,ручка MUJI,9,1,2,KEEP
2143,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,ручка MUJI,22,2,2,DELETE
2144,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,ручка MUJI,23,2,2,DELETE
2134,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,шейкер спортивный,6,1,2,KEEP
2142,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,шейкер спортивный,20,2,2,DELETE
2251,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,20,1,3,KEEP
2252,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,24,1,3,KEEP
2253,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,28,2,3,DELETE
2254,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,32,2,3,DELETE
2255,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,36,1,2,KEEP
2256,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,40,1,2,KEEP
2257,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,44,2,2,DELETE
2258,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,48,2,2,DELETE
2259,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,52,3,3,DELETE
2260,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,56,3,3,DELETE
2261,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,60,1,4,KEEP
2262,882,"[Просчет] ООО ""МК-ИНТЕРТРЕЙД"" / Брелоки_значки 25-03-2025",Дизайн: индивидуальный дизайн,64,1,4,KEEP
